Hero Skin,https://www.udacity.com/blog/wp-content/uploads/2021/02/img8.png,"4,211",heroskin
Hero Equipment,https://www.udacity.com/blog/wp-content/uploads/2021/02/img8.png,"2,105",equipment
Hammer of Building,https://media.ffycdn.net/eu/supercell/VRVX6bBBhWxxe6919mHR.png,526,
Hammer of Fighting,https://media.ffycdn.net/eu/supercell/bMt3zuMUCBs1Rv9HegXr.png,526,
Hammer of Heroes,https://media.ffycdn.net/eu/supercell/8gWD1waxDGe16HAFq6kv.png,526,
Rune of Dark Elixir,https://media.ffycdn.net/eu/supercell/ciiRrqfNRmaDRzuoEYLd.png,526,
Rune of Gold,https://media.ffycdn.net/eu/supercell/Xy6VDavAsRGuEU9gk5xo.png,526,
Rune of Elixir,https://media.ffycdn.net/eu/supercell/vDmJosSN5KMUEJtTZu2R.png,526,
Book of Everything,https://media.ffycdn.net/eu/supercell/e2K59t4hC2i8vtCGWPAn.png,316,
Hammer of Spells,https://media.ffycdn.net/eu/supercell/2ueEZEjdGDWByjbyXS81.png,211,
