Giant Gauntlet,https://media.ffycdn.net/eu/supercell/XUTVeaSWY49A8r8vTgJh.png
Spiky Ball,https://media.ffycdn.net/eu/supercell/prwWtENX2mXKJqpQ59nx.png
Snake Bracelet,https://media.ffycdn.net/eu/supercell/f82DPpieWERbFbt1JsVh.png
Stick Horse,https://media.ffycdn.net/eu/supercell/1pcS4MhAR65PnXo7kr2Y.png
Frozen Arrow,https://media.ffycdn.net/eu/supercell/E8QoiZv7ASaLb52honXn.png
Magic Mirror,https://media.ffycdn.net/eu/supercell/imQG1Pr43wn4bBsrxbuJ.png
Action Figure,https://media.ffycdn.net/eu/supercell/PTd8RRmFTKsH9vUP98qL.png
Dark Crown,https://media.ffycdn.net/eu/supercell/JhTVb4Y3hfnpZN6dmaDZ.png
Meteor Staff,https://static.wikia.nocookie.net/clashofclans/images/0/07/Meteor_Staff.png/
Fireball,https://media.ffycdn.net/eu/supercell/LN7MmoPzHCKgXv1oMe3s.png
Lavaloon Puppet,https://media.ffycdn.net/eu/supercell/Q2aYHAU2t7c6J5b1ecKd.png
Heroic Torch,https://static.wikia.nocookie.net/clashofclans/images/8/8a/Heroic_Torch.png
Rocket Spear,https://media.ffycdn.net/eu/supercell/8SBKAk1QhwKreVBwCxi7.png
Electro Boots,https://media.ffycdn.net/eu/supercell/N8bGNjoRcTf2Q9dtAahk.png
Frost Flake,https://static.wikia.nocookie.net/clashofclans/images/4/4c/Frost_Flake.png
