Dark Elixir,https://static.wikia.nocookie.net/clashofclans/images/4/4e/Dark_Elixir.png,"1,923",9500-14250
Gold,https://static.wikia.nocookie.net/clashofclans/images/1/10/Gold.png,"1,154",800000-1200000
Elixir,https://static.wikia.nocookie.net/clashofclans/images/4/43/Elixir.png,"1,154",800000-1200000
Builder Bite,https://static.wikia.nocookie.net/clashofclans/images/7/7e/Builder_Bite.png,923,
Clan Castle Cake,https://static.wikia.nocookie.net/clashofclans/images/f/f7/Clan_Castle_Cake.png,923,
Study Soup,https://static.wikia.nocookie.net/clashofclans/images/1/10/Study_Soup.png,923,
Power Pancakes,https://static.wikia.nocookie.net/clashofclans/images/f/f7/Power_Pancakes.png/,923,
Mighty Morsel,https://static.wikia.nocookie.net/clashofclans/images/8/81/Mighty_Morsel.png,923,
Builder Gold,https://media.ffycdn.net/eu/supercell/ePvmnu5eP1nT2RJgLQGC.png,385,375000-625000
Builder Elixir,https://media.ffycdn.net/eu/supercell/jtr2orDgxBcot1e7wVMD.png,385,375000-625000
Capital Gold,https://static.wikia.nocookie.net/clashofclans/images/a/a0/GoldC.png,385,1000-1500
