Hero Potion,698,
Research Potion,698,
Power Potion,698,
Resource Potion,698,
Wall Rings,698,2-3
Dark Elixir,698,chestresources.csv#9:Dark Elixir
Gold,698,chestresources.csv#9:Gold
Elixir,698,chestresources.csv#9:Elixir
Shiny Ore,698,300-400
Glowy Ore,698,30-40
Starry Ore,698,2-3
Builder Potion,465,
Capital Gold,465,chestresources.csv#9:Capital Gold*2
Builder Gold,349,chestresources.csv#9:Builder Gold*2
Builder Elixir,349,chestresources.csv#9:Builder Elixir*2
Builder Star Jar,349,
Clock Tower Potion,349,
